V_0;V;I
4;0;1
4;2.19;6
4;4.82;12
4;6.67;17
4;7.93;21
4;9.83;26
4;11.68;31
4;13.02;34
4;13.64;36
4;14.42;38
4;15.29;40
4;16.13;41.5
4;16.33;42
4;16.94;43
4;17.9;45
4;18.8;47
4;19.02;47
4;19.77;48
4;19.2;48
4;20.3;48
4;20.84;48
4;21.8;47.5
4;22.5;45
4;23;41
4;23.65;35
4;25.01;37
4;25.78;40
4;27.43;45
4;28.9;50
4;30.32;55
4;32.14;60
4;33.52;65
4;34.9;69
4;37.22;71
4;39.23;70
4;39.81;69
4;41.33;67
4;45.09;66
4;48.86;70
4;52.13;75
4;54.98;80
6;0.01;0
6;3.71;5
6;6.06;10
6;7.6;15
6;9.23;20
6;11.3;26
6;13.01;30
6;14.75;35
6;16.8;40
6;17.76;42
6;18.89;44
6;20.28;46
6;21.87;44
6;23.15;41
6;23.83;29
6;24.15;25
6;24.36;24
6;25.89;24
6;27.28;30
6;28.63;35
6;30.09;40
6;31.57;45
6;33.04;50
6;34.65;55
6;36.09;58
6;39.51;58
6;41.19;55
6;43.55;52
6;47.25;51
6;51.92;55
6;55.42;60
6;60.49;67
8;0;0
8;6.38;6
8;8.04;11
8;9.62;16
8;11.69;22
8;13.23;26
8;15.11;31
8;17.03;36
8;18.72;40
8;19.88;42
8;23.3;39
8;23.96;36
8;24.31;20
8;24.68;16.5
8;25.92;14
8;27.11;15
8;28.75;20
8;30.15;26
8;31.65;32
8;32.67;36
8;34.55;42
8;36.09;46
8;38.09;48
8;40;47
8;41.33;45
8;44.41;41
8;47.26;38
8;50.71;38
8;53.97;42
8;56.99;46
8;64.25;51
