LL,N,NN,N_1,NN_1
3,214,,436,431
3.1,210,,417,
3.2,207,,326,
3.3,219,,253,276
3.4,181,,249,
3.5,213,,229,
3.6,204,,198,186
3.7,183,,211,
3.8,172,,248,
3.9,196,,220,223
4,167,,247,
4.1,180,,314,
4.2,175,,495,527
4.3,194,,914,
4.4,163,,1348,1327
4.5,159,,1604,1565
4.6,181,,1381,1368
4.7,167,,821,875
4.8,148,,355,
4.9,182,,113,109
5,168,,29,23
5.1,157,,10,
5.2,169,,3,
5.3,183,,3,
5.4,164,,2,
5.5,166,,4,
5.6,185,,3,
5.7,197,,0,
5.8,165,,3,
5.9,147,,1,
6,202,,2,
6.1,171,,0,
6.2,174,,1,
6.3,192,,3,
6.4,175,,1,
6.5,175,,1,
6.6,160,,1,
6.7,130,,0,
6.8,151,,0,
6.9,126,,1,
7,120,,0,
7.1,105,,2,
7.2,106,,1,
7.3,102,,1,
7.4,105,,0,
7.5,102,,0,
7.6,90,,2,
7.7,114,,2,
7.8,143,,1,
7.9,187,,0,
8,212,,1,
8.1,246,,1,
8.2,248,,,
8.3,206,193,,
8.4,152,137,,
8.5,72,74,,
8.6,57,56,,
8.7,43,59,,
8.8,60,59,,
8.9,95,77,,
9,143,122,,
9.1,152,146,,
9.2,195,200,,
9.3,186,,,
9.4,157,160,,
9.5,103,94,,
9.6,52,70,,
9.7,31,28,,
9.8,13,16,,
9.9,5,4,,
2.9,,,459,
2.8,,,472,
2.7,,,475,
2.6,,,496,
2.5,,,505,
2.4,,,488,
2.3,,,484,
2.2,,,511,
